Joshua 1:9,"Do not be frightened, and do not be dismayed, for the LORD your God is with you wherever you go."
Lamentations 3:22-23,The steadfast love of the LORD never ceases; his mercies never come to an end; they are new every morning; great is your faithfulness.
Proverbs 3:5-6,"Trust in the LORD with all your heart, and do not lean on your own understanding. In all your ways acknowledge him, and he will make straight your paths."
Proverbs 18:10,The name of the LORD is a strong tower; the righteous man runs into it and is safe.
Psalm 16:8,"I have set the LORD always before me; because he is at my right hand, I shall not be shaken."
Psalm 23:4,"Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me."
Psalm 31:24,"Be strong, and let your heart take courage, all you who wait for the LORD!"
Psalm 46:7,The LORD of hosts is with us; the God of Jacob is our fortress.
Psalm 55:22,"Cast your burden on the LORD, and he will sustain you; he will never permit the righteous to be moved."
Psalm 62:6,"He only is my rock and my salvation, my fortress; I shall not be shaken."
Psalm 118:14,The LORD is my strength and my song; he has become my salvation.
Psalm 119:114,You are my hiding place and my shield; I hope in your word.
Psalm 119:50,"This is my comfort in my affliction, that your promise gives me life."
Psalm 120:1,"In my distress I called to the LORD, and he answered me."
Isaiah 26:3,"You keep him in perfect peace whose mind is stayed on you, because he trusts in you."
Isaiah 40:31,But they who wait for the LORD shall renew their strength; they shall mount up with wings like eagles; they shall run and not be weary; they shall walk and not faint.
Isaiah 41:10,"Fear not, for I am with you; be not dismayed, for I am your God; I will strengthen you, I will help you, I will uphold you with my righteous right hand."
Isaiah 43:2,"When you pass through the waters, I will be with you; and through the rivers, they shall not overwhelm you; when you walk through fire you shall not be burned, and the flame shall not consume you."
Matthew 11:28,"Come to me, all who labor and are heavy laden, and I will give you rest."
Mark 10:27,"Jesus said, ‘With man it is impossible, but not with God. For all things are possible with God."
John 16:33,In the world you will have tribulation. But take heart; I have overcome the world.
2 Corinthians 1:3,"Blessed be the God and Father of our Lord Jesus Christ, the Father of mercies and God of all comfort, who comforts us in all our affliction"
1 Thessalonians 5:11,Therefore encourage one another and build one another up.
Philippians 4:19,And my God will supply every need of yours according to his riches in glory in Christ Jesus.
1 Peter 5:7,"Casting all your anxieties on him, because he cares for you."
Philippians 4:13,I can do all things through him who strengthens me.
Deuteronomy 31:6,"Be strong and courageous. Do not fear or be in dread of them, for it is the Lord your God who goes with you. He will not leave you or forsake you."
1 Corinthians 10:13,"God is faithful, and he will not let you be tempted beyond your ability."
Exodus 15:2,"The Lord is my strength and my song, and he has become my salvation; this is my God, and I will praise him, my father's God, and I will exalt him."
Ephesians 6:10,"Finally, be strong in the Lord and in the strength of his might."
Deuteronomy 20:4,"For the Lord your God is he who goes with you to fight for you against your enemies, to give you the victory."
2 Corinthians 12:9,"My grace is sufficient for you, for my power is made perfect in weakness."
2 Timothy 1:7,For God gave us a spirit not of fear but of power and love and self-control.
Isaiah 12:2,"Behold, God is my salvation; I will trust, and will not be afraid; for the Lord God is my strength and my song, and he has become my salvation."
